,Name,Team,Pos,Height,Weight,BMI,Birth_Place,Birthdate,Age,College,Experience,Games Played,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3,min_REB,min_AST,min_STL,min_PTS,min_BLK
48,Emma Cannon,PHO,F,188,86.0,24.33227705,US,"January 6, 1989",28,Central Florida,R,18,508,105,220,47.7,11,33,33.3,31,34,91.2,33,72,105,52,21,27,30,252,1,0,0.20669291338582677,0.10236220472440945,0.04133858267716536,0.49606299212598426,0.0531496062992126
49,Emma Meesseman,WAS,C,193,83.0,22.28247738,BE,"May 13, 1993",24,Belgium,5,23,617,89,233,38.2,25,79,31.6,56,65,86.2,23,58,81,70,34,5,30,259,0,0,0.1312803889789303,0.11345218800648298,0.055105348460291734,0.419773095623987,0.008103727714748784
50,Epiphanny Prince,NY,G,175,81.0,26.44897959,US,"November 1, 1988",28,Rutgers,8,26,282,36,86,41.9,1,3,33.3,15,22,68.2,17,44,61,5,4,8,17,88,0,0,0.21631205673758866,0.01773049645390071,0.014184397163120567,0.3120567375886525,0.028368794326241134
51,Erica Wheeler,IND,G,170,65.0,22.49134948,US,"February 5, 1991",26,Rutgers,3,30,767,130,321,40.5,42,129,32.6,34,40,85.0,11,57,68,117,38,1,68,336,0,0,0.08865710560625815,0.15254237288135594,0.04954367666232073,0.4380704041720991,0.001303780964797914
52,Érika de Souza,SAN,C,196,86.0,22.38650562,BR,"September 3, 1982",34,Brazil,13,30,579,65,112,58.0,0,0,0.0,29,32,90.6,58,74,132,35,18,7,37,159,0,0,0.22797927461139897,0.06044905008635579,0.031088082901554404,0.27461139896373055,0.012089810017271158
53,Erlana Larkins,IND,F,185,93.0,27.17311907,US,"February 4, 1986",31,North Carolina,9,20,386,36,92,39.1,9,35,25.7,21,24,87.5,9,26,35,24,11,8,13,102,0,0,0.09067357512953368,0.06217616580310881,0.02849740932642487,0.26424870466321243,0.02072538860103627
54,Essence Carson,LA,G/F,183,74.0,22.09680791,US,"July 28, 1986",31,Rutgers,10,15,61,4,16,25.0,0,0,0.0,5,6,83.3,7,2,9,0,1,3,5,13,0,0,0.14754098360655737,0.0,0.01639344262295082,0.21311475409836064,0.04918032786885246
55,Evelyn Akhator,DAL,F,191,82.0,22.47745402,NG,"March 2, 1995",22,Kentucky,R,30,926,165,365,45.2,20,60,33.3,92,117,78.6,73,199,272,50,37,13,67,442,13,0,0.2937365010799136,0.05399568034557235,0.03995680345572354,0.4773218142548596,0.014038876889848811
56,Glory Johnson,DAL,F,191,77.0,21.10687755,US,"July 27, 1990",27,Tennessee,4,4,42,3,9,33.3,3,6,50.0,0,0,0.0,0,3,3,1,0,0,4,9,0,0,0.07142857142857142,0.023809523809523808,0.0,0.21428571428571427,0.0
57,Imani Boyette,ATL,C,201,88.0,21.78163907,US,"November 10, 1992",24,Texas,1,29,410,56,119,47.1,1,3,33.3,14,20,70.0,43,75,118,14,9,23,22,127,1,0,0.28780487804878047,0.03414634146341464,0.02195121951219512,0.3097560975609756,0.05609756097560976
58,Isabelle Harrison,SAN,C,191,83.0,22.75156931,US,"September 27, 1993",23,Kentucky,3,31,832,154,300,51.3,1,2,50.0,55,85,64.7,66,134,200,46,26,24,63,364,5,0,0.2403846153846154,0.055288461538461536,0.03125,0.4375,0.028846153846153848
59,Ivory Latta,WAS,G,168,63.0,22.32142857,US,"September 25, 1984",32,North Carolina,12,29,499,79,218,36.2,40,114,35.1,47,55,85.5,7,20,27,49,12,1,22,245,0,0,0.05410821643286573,0.09819639278557114,0.02404809619238477,0.4909819639278557,0.002004008016032064
60,Jantel Lavender,LA,C,193,84.0,22.55094096,US,"December 11, 1988",28,Ohio State,7,28,481,89,184,48.4,4,13,30.8,18,22,81.8,31,56,87,28,8,5,35,200,0,0,0.18087318087318088,0.058212058212058215,0.016632016632016633,0.4158004158004158,0.010395010395010396
61,Jasmine Thomas,CON,G,175,66.0,21.55102041,US,"September 30, 1989",27,Duke,6,27,762,151,341,44.3,50,116,43.1,39,55,70.9,9,55,64,118,45,4,58,391,1,0,0.08398950131233596,0.15485564304461943,0.05905511811023622,0.5131233595800525,0.005249343832020997
62,Jazmon Gwathmey,IND,G,188,65.0,18.39067451,PR,"January 24, 1993",24,James Madison,2,24,371,50,140,35.7,12,49,24.5,30,39,76.9,15,34,49,17,13,19,32,142,0,0,0.1320754716981132,0.04582210242587601,0.03504043126684636,0.38274932614555257,0.05121293800539083
63,Jeanette Pohlen,IND,G,183,78.0,23.29122996,US,"February 5, 1989",28,Stanford,6,25,278,20,52,38.5,13,29,44.8,17,20,85.0,3,19,22,13,5,0,15,70,0,0,0.07913669064748201,0.046762589928057555,0.017985611510791366,0.2517985611510791,0.0
64,Jennifer Hamson,IND,C,201,95.0,23.51426945,US,"January 23, 1992",25,Brigham Young,1,10,50,2,12,16.7,0,3,0.0,8,10,80.0,5,6,11,6,2,2,3,12,0,0,0.22,0.12,0.04,0.24,0.04
65,Jessica Breland,CHI,F,191,77.0,21.10687755,US,"February 23, 1988",29,North Carolina,5,10,78,9,16,56.3,0,0,0.0,4,5,80.0,5,13,18,2,1,9,3,22,0,0,0.23076923076923078,0.02564102564102564,0.01282051282051282,0.28205128205128205,0.11538461538461539
66,Jewell Loyd,SEA,G,178,67.0,21.14631991,US,"May 10, 1993",24,Notre Dame,3,29,715,116,245,47.3,8,21,38.1,28,37,75.7,50,139,189,46,18,50,57,268,4,0,0.26433566433566436,0.06433566433566433,0.025174825174825177,0.3748251748251748,0.06993006993006994
67,Jia Perkins,MIN,G,173,75.0,25.05930703,US,"February 23, 1982",35,Texas Tech,14,30,932,178,420,42.4,47,123,38.2,114,134,85.1,24,72,96,103,41,11,83,517,0,0,0.10300429184549356,0.11051502145922747,0.043991416309012876,0.5547210300429185,0.011802575107296138
68,Jonquel Jones,CON,F/C,198,86.0,21.93653709,BS,"May 1, 1994",23,George Washington,1,29,463,47,124,37.9,11,32,34.4,11,15,73.3,11,46,57,39,30,1,24,116,0,0,0.12311015118790497,0.08423326133909287,0.06479481641468683,0.2505399568034557,0.0021598272138228943
69,Jordan Hooper,CHI,F,188,84.0,23.76641014,US,"February 20, 1992",25,Nebraska,3,29,833,164,299,54.8,22,49,44.9,117,142,82.4,108,226,334,40,29,46,46,467,17,0,0.4009603841536615,0.04801920768307323,0.03481392557022809,0.56062424969988,0.055222088835534214
70,Kaela Davis,DAL,G,188,77.0,21.78587596,US,"March 15, 1995",22,South Carolina,R,23,208,27,75,36.0,20,55,36.4,3,4,75.0,2,20,22,5,7,1,6,77,0,0,0.10576923076923077,0.02403846153846154,0.03365384615384615,0.3701923076923077,0.004807692307692308
71,Kahleah Copper,CHI,G/F,185,70.0,20.45288532,US,"August 28, 1994",22,Rutgers,1,29,475,62,163,38.0,12,32,37.5,49,65,75.4,10,33,43,32,13,3,48,185,0,0,0.09052631578947369,0.06736842105263158,0.02736842105263158,0.3894736842105263,0.00631578947368421
72,Kaleena Mosqueda-Lewis,SEA,F,180,82.0,25.30864198,US,"March 11, 1993",24,Connecticut,3,29,369,60,140,42.9,5,23,21.7,36,45,80.0,11,43,54,11,9,2,22,161,0,0,0.14634146341463414,0.02981029810298103,0.024390243902439025,0.4363143631436314,0.005420054200542005
73,Karima Christmas-Kelly,DAL,G/F,183,82.0,24.48565201,US,"November 9, 1989",27,Duke,6,14,142,23,43,53.5,9,21,42.9,10,10,100.0,4,10,14,6,1,1,13,65,0,0,0.09859154929577464,0.04225352112676056,0.007042253521126761,0.45774647887323944,0.007042253521126761
74,Kayla Alexander,SAN,C,193,88.0,23.6247953,CA,"May 1, 1991",26,Arizona State,4,30,889,91,239,38.1,25,83,30.1,111,129,86.0,45,75,120,65,39,5,50,318,0,0,0.13498312710911137,0.07311586051743532,0.043869516310461196,0.3577052868391451,0.00562429696287964
75,Kayla McBride,SAN,G/F,180,79.0,24.38271605,US,"June 25, 1992",25,Notre Dame,3,31,433,78,141,55.3,0,0,0.0,15,16,93.8,40,47,87,17,13,15,30,171,0,0,0.20092378752886836,0.03926096997690531,0.03002309468822171,0.394919168591224,0.03464203233256351
76,Kayla Pedersen,CON,F,193,86.0,23.08786813,US,"April 14, 1989",28,Stanford,5,27,882,128,337,38.0,47,147,32.0,108,118,91.5,12,93,105,59,32,5,54,411,0,0,0.11904761904761904,0.06689342403628118,0.036281179138321996,0.46598639455782315,0.005668934240362812
77,Kayla Thornton,DAL,F,185,86.0,25.12783053,US,"October 20, 1992",24,Texas–El Paso,2,21,224,11,30,36.7,0,1,0.0,10,14,71.4,19,26,45,13,6,2,9,32,0,0,0.20089285714285715,0.05803571428571429,0.026785714285714284,0.14285714285714285,0.008928571428571428
78,Keisha Hampton,CHI,F,185,78.0,22.79035793,US,"February 22, 1990",27,DePaul,1,30,504,64,157,40.8,14,52,26.9,65,81,80.2,36,59,95,24,20,7,21,207,0,0,0.1884920634920635,0.047619047619047616,0.03968253968253968,0.4107142857142857,0.013888888888888888
79,Kelsey Plum,SAN,G,173,66.0,22.05219018,US,"August 24, 1994",23,Washington,R,28,610,73,210,34.8,29,78,37.2,50,58,86.2,11,42,53,91,13,4,72,225,0,0,0.08688524590163935,0.14918032786885246,0.021311475409836064,0.36885245901639346,0.006557377049180328
80,Kia Vaughn,NY,C,193,90.0,24.16172246,US,"January 24, 1987",30,Rutgers,9,23,455,62,116,53.4,0,0,0.0,10,19,52.6,39,71,110,16,8,9,21,134,1,0,0.24175824175824176,0.035164835164835165,0.017582417582417582,0.2945054945054945,0.01978021978021978
81,Kiah Stokes,NY,C,191,87.0,23.84803048,US,"March 30, 1993",24,Connecticut,3,29,576,50,98,51.0,0,1,0.0,41,52,78.8,63,122,185,21,8,32,33,141,3,0,0.3211805555555556,0.036458333333333336,0.013888888888888888,0.24479166666666666,0.05555555555555555
82,Kristi Toliver,WAS,G,170,59.0,20.41522491,US,"January 27, 1987",30,Maryland,9,29,845,119,284,41.9,67,194,34.5,44,49,89.8,9,50,59,91,20,8,48,349,0,0,0.06982248520710059,0.1076923076923077,0.023668639053254437,0.41301775147928993,0.009467455621301775
83,Krystal Thomas,WAS,C,196,88.0,22.90712203,US,"October 6, 1989",27,Duke,6,29,737,81,149,54.4,0,0,0.0,37,61,60.7,97,172,269,30,15,31,45,199,2,0,0.3649932157394844,0.0407055630936228,0.0203527815468114,0.2700135685210312,0.04206241519674356
84,Lanay Montgomery,SEA,C,196,96.0,24.98958767,US,"September 17, 1993",23,West Virginia,R,7,28,3,7,42.9,0,0,0.0,0,0,0.0,0,5,5,0,1,4,2,6,0,0,0.17857142857142858,0.0,0.03571428571428571,0.21428571428571427,0.14285714285714285
85,Layshia Clarendon,ATL,G,175,64.0,20.89795918,US,"February 5, 1991",26,UC Berkeley,5,30,900,124,320,38.8,8,53,15.1,73,81,90.1,27,88,115,206,29,1,82,329,3,0,0.12777777777777777,0.2288888888888889,0.03222222222222222,0.3655555555555556,0.0011111111111111111
86,Leilani Mitchell,PHO,G,165,58.0,21.30394858,US,"June 15, 1985",32,Utah,9,30,623,70,182,38.5,31,92,33.7,62,75,82.7,12,57,69,108,26,9,50,233,0,0,0.11075441412520064,0.17335473515248795,0.04173354735152488,0.3739967897271268,0.014446227929373997
87,Lindsay Allen,NY,G,173,65.0,21.71806609,US,"March 20, 1995",22,Notre Dame,R,23,314,21,50,42.0,0,11,0.0,6,9,66.7,8,28,36,47,13,1,18,48,0,0,0.11464968152866242,0.14968152866242038,0.041401273885350316,0.15286624203821655,0.0031847133757961785
88,Lindsay Whalen,MIN,G,175,78.0,25.46938776,US,"September 5, 1982",34,Minnesota,14,22,520,69,153,45.1,12,34,35.3,27,36,75.0,8,46,54,90,11,2,44,177,0,0,0.10384615384615385,0.17307692307692307,0.021153846153846155,0.3403846153846154,0.0038461538461538464
89,Lynetta Kizer,CON,C,193,104.0,27.92021262,US,"April 4, 1990",27,Maryland,5,20,238,48,100,48.0,0,1,0.0,23,30,76.7,22,35,57,6,11,7,10,119,0,0,0.23949579831932774,0.025210084033613446,0.046218487394957986,0.5,0.029411764705882353
90,Maimouna Diarra,LA,C,198,90.0,22.95684114,SN,"January 30, 1991",26,Sengal,R,9,16,1,3,33.3,0,0,0.0,1,2,50.0,3,4,7,1,1,0,3,3,0,0,0.4375,0.0625,0.0625,0.1875,0.0
91,Makayla Epps,CHI,G,178,,,US,"June 6, 1995",22,Kentucky,R,14,52,2,14,14.3,0,5,0.0,2,5,40.0,2,0,2,4,1,0,4,6,0,0,0.038461538461538464,0.07692307692307693,0.019230769230769232,0.11538461538461539,0.0
92,Marissa Coleman,IND,G/F,185,73.0,21.32943755,US,"April 1, 1987",30,Maryland,9,30,539,50,152,32.9,27,79,34.2,27,33,81.8,7,53,60,25,8,4,34,154,0,0,0.11131725417439703,0.04638218923933209,0.014842300556586271,0.2857142857142857,0.0074211502782931356
93,Matee Ajavon,ATL,G,173,73.0,24.39105884,US,"July 5, 1986",31,Syracruse,R,27,218,22,69,31.9,0,3,0.0,29,35,82.9,8,26,34,27,10,0,26,73,0,0,0.1559633027522936,0.12385321100917432,0.045871559633027525,0.3348623853211009,0.0
94,Maya Moore,MIN,F,183,80.0,23.88844098,US,"November 6, 1989",27,Connecticut,7,29,904,170,398,42.7,52,132,39.4,98,114,86.0,50,106,156,99,53,13,56,490,3,0,0.17256637168141592,0.10951327433628319,0.0586283185840708,0.5420353982300885,0.014380530973451327
95,Monique Currie,PHO,G/F,183,80.0,23.88844098,US,"February 25, 1983",34,Duke,11,32,717,121,284,42.6,37,93,39.8,85,103,82.5,19,103,122,67,22,11,48,364,0,0,0.1701534170153417,0.09344490934449093,0.030683403068340307,0.5076708507670851,0.015341701534170154
96,Morgan Tuck,CON,F,188,91.0,25.74694432,US,"April 30, 1994",23,Connecticut,1,17,294,35,101,34.7,8,28,28.6,13,16,81.3,9,34,43,19,7,0,15,91,1,0,0.14625850340136054,0.06462585034013606,0.023809523809523808,0.30952380952380953,0.0
