Date de réception de la notification;Secteur d'activité de l'organisme concerné;Natures de la violation;Nombre de personnes impactées;Typologie des données impactées;Données sensibles;Origine de l'incident;Causes de l'incident;Information des personnes
2020-02;Activités de services administratifs et de soutien;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Courrier perdu ou ouvert avant d'être retourné à l'envoyeur;Inconnu;Non, mais elles le seront
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Administration publique;Perte de la confidentialité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Equipement perdu ou volé;Acte externe malveillant;Non, mais elles le seront
2020-02;Information et communication;Perte de la confidentialité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Publication non volontaire d'informations;Acte interne accidentel;Non ils ne le seront pas
2020-02;Administration publique;Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Entre 301 et 5000 personnes;La violation concerne d'autres données;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non ils ne le seront pas
2020-02;Activités financières et d''assurance;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Données personnelles envoyées à un mauvais destinataire;Acte externe accidentel;Non, mais elles le seront
2020-02;Administration publique;Perte de la confidentialité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Equipement perdu ou volé;Acte externe malveillant;Non ils ne le seront pas
2020-02;Administration publique;Perte de la confidentialité;Plus de 5000 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non, mais elles le seront
2020-02;Autres activités de services;Perte de la confidentialité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...);Oui;Autre;Acte interne accidentel;Non déterminé pour le moment
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données;;Papier perdu, volé ou laissé accessible dans un endroit non sécurisé;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Industrie manufacturière;Perte de la disponibilité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non déterminé pour le moment
2020-02;Santé humaine et action sociale;Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Entre 301 et 5000 personnes;La violation concerne d'autres données;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Activités financières et d''assurance;Perte de la confidentialité;Entre 6 et 50 personnes;Les données concernées ne sont pas connues pour le moment;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage,Autre;Acte externe malveillant;Non, mais elles le seront
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité,Perte de la disponibilité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données relatives à des infractions, condamnations, mesures de sûreté;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non déterminé pour le moment
2020-02;Information et communication;Perte de la confidentialité,Perte de l'intégrité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Données de la mauvaise personne affichées sur le portail du client,Données personnelles envoyées à un mauvais destinataire;Inconnu;Non ils ne le seront pas
2020-02;Transports et entreposage;Perte de la confidentialité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données de localisation;;Autre;Autre;Non ils ne le seront pas
2020-02;Santé humaine et action sociale;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);Oui;Autre;Acte externe malveillant;Non déterminé pour le moment
2020-02;Activités de services administratifs et de soutien;Perte de la confidentialité;Entre 301 et 5000 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Données personnelles envoyées à un mauvais destinataire;Acte interne accidentel;Oui, les personnes ont été informées
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité,Perte de la disponibilité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non déterminé pour le moment
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non, mais elles le seront
2020-02;Administration publique;Perte de la confidentialité;Entre 0 et 5 personnes;Les données concernées ne sont pas connues pour le moment;;Autre;Acte interne malveillant;Non ils ne le seront pas
2020-02;Transports et entreposage;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Données de la mauvaise personne affichées sur le portail du client;Acte externe accidentel;Oui, les personnes ont été informées
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 301 et 5000 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Publication non volontaire d'informations;Acte externe accidentel;Non déterminé pour le moment
2020-02;Information et communication;Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non déterminé pour le moment
2020-02;Autres activités de services;Perte de la confidentialité;Entre 0 et 5 personnes;La violation concerne d'autres données;;Publication non volontaire d'informations;Acte externe accidentel;Oui, les personnes ont été informées
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Activités de services administratifs et de soutien;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Données personnelles envoyées à un mauvais destinataire;Acte externe accidentel;Non, mais elles le seront
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité;Entre 0 et 5 personnes;La violation concerne d'autres données;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Activités financières et d''assurance;Perte de la confidentialité;Plus de 5000 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Administration publique;Perte de la confidentialité;Entre 0 et 5 personnes;NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Autre;Acte interne accidentel;Oui, les personnes ont été informées
2020-02;Agriculture, sylviculture et pêche;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...);Oui;Equipement perdu ou volé;Acte interne malveillant;Non, mais elles le seront
2020-02;Administration publique;Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;Oui;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Inconnu;Non déterminé pour le moment
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la disponibilité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Activités financières et d''assurance;Perte de l'intégrité;Entre 6 et 50 personnes;Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Données personnelles envoyées à un mauvais destinataire;Acte interne accidentel;Non ils ne le seront pas
2020-02;Activités financières et d''assurance;Perte de la confidentialité;Entre 0 et 5 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Equipement perdu ou volé;Inconnu;Oui, les personnes ont été informées
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non, mais elles le seront
2020-02;Administration publique;Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;Oui;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Inconnu;Non déterminé pour le moment
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...);Oui;Données personnelles envoyées à un mauvais destinataire;Acte externe accidentel;Non ils ne le seront pas
2020-02;Industrie manufacturière;Perte de la confidentialité;Entre 6 et 50 personnes;La violation concerne d'autres données;;Autre;Acte interne malveillant;Non, mais elles le seront
2020-02;"Commerce ; réparation d''automobiles et de motocycles";Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données de localisation;;Autre;Acte externe malveillant;Non, mais elles le seront
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 0 et 5 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données;;Papier perdu, volé ou laissé accessible dans un endroit non sécurisé;Acte interne malveillant,Acte externe malveillant;Non déterminé pour le moment
2020-02;Administration publique;Perte de la confidentialité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données;;Autre;Autre;Non ils ne le seront pas
2020-02;Santé humaine et action sociale;Perte de la confidentialité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...);;Autre;Acte interne accidentel;Non, mais elles le seront
2020-02;Administration publique;Perte de la confidentialité,Perte de la disponibilité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Autre;Acte externe malveillant;Oui, les personnes ont été informées
2020-02;Administration publique;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données;;Autre;Autre;Non ils ne le seront pas
2020-02;Industrie manufacturière;Perte de la confidentialité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;Oui;Autre;Acte interne malveillant;Non ils ne le seront pas
2020-02;Autres activités de services;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation;;Autre;Acte interne malveillant;Non déterminé pour le moment
2020-02;Activités immobilières;Perte de la confidentialité,Perte de l'intégrité;Entre 6 et 50 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données de localisation;;Publication non volontaire d'informations;Acte externe accidentel;Non ils ne le seront pas
2020-02;Transports et entreposage;Perte de la confidentialité,Perte de l'intégrité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données;;Données de la mauvaise personne affichées sur le portail du client;Acte interne accidentel;Non déterminé pour le moment
2020-02;Activités financières et d''assurance;Perte de la confidentialité;Entre 301 et 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...);;Données personnelles envoyées à un mauvais destinataire;Acte interne accidentel;Non ils ne le seront pas
2020-02;Transports et entreposage;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Données de la mauvaise personne affichées sur le portail du client;Acte externe accidentel;Non ils ne le seront pas
2020-02;Industrie manufacturière;Perte de la confidentialité;Entre 0 et 5 personnes;Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...);;Publication non volontaire d'informations;Acte interne accidentel;Oui, les personnes ont été informées
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 0 et 5 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques;;Papier perdu, volé ou laissé accessible dans un endroit non sécurisé;Acte externe malveillant;Non, mais elles le seront
2020-02;Activités spécialisées, scientifiques et techniques;Perte de la confidentialité;Entre 51 et 300 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données;;Autre;Acte externe accidentel;Non, mais elles le seront
2020-02;Activités financières et d''assurance;Perte de la disponibilité;Plus de 5000 personnes;Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...);;Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage;Acte externe malveillant;Non ils ne le seront pas
