,Date,Sector,Violation_nature,People_impacted,Data_type,Sensitive_data,Incident_origin,Incident_cause,People_informed
18,2020-02,Scientific/Specialized/Technical,Perte de la disponibilité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,Hacking - Malware -Phishing,External-Malicious,They_will_not
19,2020-02,Construction,Perte de la disponibilité,5000,Civil-Contact,,Hacking - Malware -Phishing,External-Malicious,TBD
20,2020-02,Health,Perte de la disponibilité,>5000,Contact,Oui,Hacking - Malware -Phishing,External-Malicious,TBD
21,2020-02,Information/Communication,Perte de la confidentialité,5,"Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),La violation concerne d'autres données",,Hacking - Malware -Phishing,External-Malicious,They_will_not
22,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5,Contact,,Hacking - Malware -Phishing,"Acte externe malveillant,Inconnu",Yes
23,2020-02,Finance/Insurance,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation",Oui,Données de la mauvaise personne affichées sur le portail du client,External-Accidental,Yes
24,2020-02,Transport/Warehousing,Perte de la confidentialité,>5000,Civil-Contact-Finance-Economic,,Hacking - Malware -Phishing,External-Malicious,TBD
25,2020-02,Finance/Insurance,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Other,Internal-Accidental,They_will_not
26,2020-02,Public_Administration,Perte de la confidentialité,5000,Civil-Contact,,Equipment Lost or Stolen,External-Malicious,They_will_not
27,2020-02,Administrative/Support_services,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Courrier perdu ou ouvert avant d'être retourné à l'envoyeur,Unknown,They_will
28,2020-02,Commerce,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,Yes
29,2020-02,Public_Administration,Perte de la confidentialité,50,Civil-Contact,,Equipment Lost or Stolen,External-Malicious,They_will
30,2020-02,Information/Communication,Perte de la confidentialité,5000,Civil-Contact,,Publication mistake,Internal-Accidental,They_will_not
31,2020-02,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,La violation concerne d'autres données,,Hacking - Malware -Phishing,External-Malicious,They_will_not
32,2020-02,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,External-Accidental,They_will
33,2020-02,Public_Administration,Perte de la confidentialité,>5000,Civil-Contact-Finance-Economic,,Equipment Lost or Stolen,External-Malicious,They_will_not
34,2020-02,Public_Administration,Perte de la confidentialité,>5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Hacking - Malware -Phishing,External-Malicious,They_will
35,2020-02,Other_services,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...)",Oui,Other,Internal-Accidental,TBD
36,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé",External-Malicious,Yes
37,2020-02,Manufacturing,Perte de la disponibilité,50,Civil-Contact,,Hacking - Malware -Phishing,External-Malicious,TBD
38,2020-02,Health,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,La violation concerne d'autres données,,Hacking - Malware -Phishing,External-Malicious,Yes
39,2020-02,Finance/Insurance,Perte de la confidentialité,50,TBD,,"Piratage, logiciel malveillant (par exemple rançongiciel) et/ou hameçonnage,Autre",External-Malicious,They_will
40,2020-02,Scientific/Specialized/Technical,"Perte de la confidentialité,Perte de la disponibilité",300,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données relatives à des infractions, condamnations, mesures de sûreté",,Hacking - Malware -Phishing,External-Malicious,TBD
41,2020-02,Information/Communication,"Perte de la confidentialité,Perte de l'intégrité",5,Civil-Contact-Access,,"Données de la mauvaise personne affichées sur le portail du client,Données personnelles envoyées à un mauvais destinataire",Unknown,They_will_not
42,2020-02,Transport/Warehousing,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données de localisation",,Other,Other,They_will_not
43,2020-02,Health,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",Oui,Other,External-Malicious,TBD
44,2020-02,Administrative/Support_services,Perte de la confidentialité,5000,Contact,,Recipient mistake,Internal-Accidental,Yes
45,2020-02,Scientific/Specialized/Technical,"Perte de la confidentialité,Perte de la disponibilité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation",,Hacking - Malware -Phishing,External-Malicious,TBD
46,2020-02,Commerce,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Hacking - Malware -Phishing,External-Malicious,They_will
47,2020-02,Public_Administration,Perte de la confidentialité,5,TBD,,Other,Internal-Malicious,They_will_not
48,2020-02,Transport/Warehousing,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Données de la mauvaise personne affichées sur le portail du client,External-Accidental,Yes
49,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5000,Contact,,Publication mistake,External-Accidental,TBD
50,2020-02,Information/Communication,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",>5000,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,TBD
51,2020-02,Other_services,Perte de la confidentialité,5,La violation concerne d'autres données,,Publication mistake,External-Accidental,Yes
52,2020-02,Commerce,Perte de la confidentialité,5,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,Yes
53,2020-02,Administrative/Support_services,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...)",,Recipient mistake,External-Accidental,They_will
54,2020-02,Commerce,Perte de la confidentialité,5,La violation concerne d'autres données,,Hacking - Malware -Phishing,External-Malicious,Yes
55,2020-02,Finance/Insurance,Perte de la confidentialité,>5000,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
56,2020-02,Public_Administration,Perte de la confidentialité,5,"NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Other,Internal-Accidental,Yes
57,2020-02,Agriculture/Forestry/Fishing,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...)",Oui,Equipment Lost or Stolen,Internal-Malicious,They_will
58,2020-02,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Hacking - Malware -Phishing,Unknown,TBD
59,2020-02,Commerce,Perte de la disponibilité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,Yes
60,2020-02,Finance/Insurance,Perte de l'intégrité,50,"Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Recipient mistake,Internal-Accidental,They_will_not
61,2020-02,Finance/Insurance,Perte de la confidentialité,5,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Equipment Lost or Stolen,Unknown,Yes
62,2020-02,Commerce,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will
63,2020-02,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Hacking - Malware -Phishing,Unknown,TBD
64,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...)",Oui,Recipient mistake,External-Accidental,They_will_not
65,2020-02,Manufacturing,Perte de la confidentialité,50,La violation concerne d'autres données,,Other,Internal-Malicious,They_will
66,2020-02,Commerce,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données de localisation",,Other,External-Malicious,They_will
67,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé","Acte interne malveillant,Acte externe malveillant",TBD
68,2020-02,Public_Administration,Perte de la confidentialité,>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données",,Other,Other,They_will_not
69,2020-02,Health,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...)",,Other,Internal-Accidental,They_will
70,2020-02,Public_Administration,"Perte de la confidentialité,Perte de la disponibilité",5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Other,External-Malicious,Yes
71,2020-02,Public_Administration,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",,Other,Other,They_will_not
72,2020-02,Manufacturing,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",Oui,Other,Internal-Malicious,They_will_not
73,2020-02,Other_services,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation",,Other,Internal-Malicious,TBD
74,2020-02,Real_Estate,"Perte de la confidentialité,Perte de l'intégrité",50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données de localisation",,Publication mistake,External-Accidental,They_will_not
75,2020-02,Transport/Warehousing,"Perte de la confidentialité,Perte de l'intégrité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Documents officiels (Passeports, pièces d’identité, etc.),La violation concerne d'autres données",,Données de la mauvaise personne affichées sur le portail du client,Internal-Accidental,TBD
76,2020-02,Finance/Insurance,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...)",,Recipient mistake,Internal-Accidental,They_will_not
77,2020-02,Transport/Warehousing,Perte de la confidentialité,5,Civil-Contact,,Données de la mauvaise personne affichées sur le portail du client,External-Accidental,They_will_not
78,2020-02,Manufacturing,Perte de la confidentialité,5,Contact,,Publication mistake,Internal-Accidental,Yes
79,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé",External-Malicious,They_will
80,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Other,External-Accidental,They_will
81,2020-02,Finance/Insurance,Perte de la disponibilité,>5000,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,They_will_not
82,2020-02,Construction,Perte de la confidentialité,50,La violation concerne d'autres données,,Publication mistake,Internal-Accidental,TBD
83,2020-02,Scientific/Specialized/Technical,Perte de la confidentialité,50,Civil-Contact-Finance-Economic,,Publication mistake,Internal-Accidental,Yes
84,2020-02,Health,Perte de la disponibilité,5000,TBD,,Hacking - Malware -Phishing,External-Malicious,TBD
85,2020-02,Public_Administration,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Données de localisation,Les données concernées ne sont pas connues pour le moment",Oui,Hacking - Malware -Phishing,External-Malicious,Yes
86,2020-02,Commerce,Perte de la confidentialité,5,Contact,,Hacking - Malware -Phishing,External-Malicious,They_will
87,2020-02,Finance/Insurance,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...)",Oui,Other,External-Accidental,They_will_not
88,2020-02,Commerce,Perte de la confidentialité,5,Civil-Contact-Access,,Hacking - Malware -Phishing,External-Malicious,Yes
89,2020-02,Manufacturing,Perte de la confidentialité,5000,"Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will
90,2020-01,Information/Communication,Perte de la confidentialité,5000,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Les données concernées ne sont pas connues pour le moment",,Hacking - Malware -Phishing,External-Malicious,Yes
91,2020-01,Finance/Insurance,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",50,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.)",,"Papier perdu, volé ou laissé accessible dans un endroit non sécurisé,Autre",Internal-Malicious,They_will
92,2020-01,Transport/Warehousing,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Equipment Lost or Stolen,External-Malicious,They_will
93,2020-01,Other_services,Perte de la confidentialité,5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Recipient mistake,External-Accidental,TBD
94,2020-01,Scientific/Specialized/Technical,Perte de la confidentialité,300,"Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Other,External-Malicious,They_will
95,2020-01,Finance/Insurance,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Recipient mistake,Internal-Accidental,They_will
96,2020-01,Construction,Perte de la confidentialité,5000,Contact,,Recipient mistake,Internal-Accidental,Yes
97,2020-01,Health,"Perte de la confidentialité,Perte de la disponibilité",>5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",Oui,Hacking - Malware -Phishing,External-Malicious,TBD
98,2020-01,Commerce,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,Yes
99,2020-01,Education,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),La violation concerne d'autres données",,Other,Internal-Malicious,They_will
100,2020-01,Construction,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",5,TBD,,Hacking - Malware -Phishing,Unknown,TBD
101,2020-01,Commerce,Perte de la confidentialité,50,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
102,2020-01,Education,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),La violation concerne d'autres données",,Publication mistake,Internal-Accidental,TBD
103,2020-01,Public_Administration,Perte de la confidentialité,5,Contact,,Recipient mistake,Internal-Accidental,They_will
104,2020-01,Construction,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",300,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation,Données relatives à des infractions, condamnations, mesures de sûreté,Les données concernées ne sont pas connues pour le moment",,Hacking - Malware -Phishing,Unknown,TBD
105,2020-01,Information/Communication,Perte de la confidentialité,300,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),La violation concerne d'autres données",,Recipient mistake,External-Accidental,They_will_not
106,2020-01,Scientific/Specialized/Technical,"Perte de la confidentialité,Perte de l'intégrité,Perte de la disponibilité",50,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation,Données relatives à des infractions, condamnations, mesures de sûreté",Oui,Hacking - Malware -Phishing,External-Malicious,Yes
107,2020-01,Construction,Perte de la confidentialité,5000,Contact,,Recipient mistake,Internal-Accidental,Yes
108,2020-01,Hospitality,Perte de la confidentialité,5,Civil-Contact-Finance-Economic,,Hacking - Malware -Phishing,External-Malicious,They_will
109,2020-01,Finance/Insurance,"Perte de la confidentialité,Perte de la disponibilité",5,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,Documents officiels (Passeports, pièces d’identité, etc.),Données de localisation,Données relatives à des infractions, condamnations, mesures de sûreté,Les données concernées ne sont pas connues pour le moment,La violation concerne d'autres données",,Equipment Lost or Stolen,External-Malicious,TBD
110,2020-01,Education,"Perte de l'intégrité,Perte de la disponibilité",50,"Etat civil (ex : nom, sexe, date de naissance, âge...),NIR (Numéro d'Inscription au Répertoire),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques",,Hacking - Malware -Phishing,External-Malicious,They_will_not
111,2020-01,Transport/Warehousing,Perte de la confidentialité,5000,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),La violation concerne d'autres données",,Hacking - Malware -Phishing,External-Malicious,TBD
112,2020-01,Scientific/Specialized/Technical,Perte de la confidentialité,50,"Etat civil (ex : nom, sexe, date de naissance, âge...),Coordonnées (ex : adresse postale ou électronique, numéros de téléphone fixe ou portable...),Données d’identification ou d’accès (ex : identifiant, mot de passe, numéro client...),Données relatives à des informations financières (ex : revenus, numéro de carte de crédit, coordonnées bancaires), économiques,La violation concerne d'autres données",,Other,Other,TBD
113,2020-01,Commerce,Perte de la confidentialité,>5000,Contact,,Hacking - Malware -Phishing,External-Malicious,Yes
