,color,clarity,carat,cut,depth,table,price,x,y,z
110,4,1,0.8,Ideal,61.4,57.0,2761,5.96,6.0,3.67172
111,5,1,0.74,Ideal,62.2,56.0,2761,5.8,5.84,3.6200400000000004
112,1,3,0.9,Premium,63.0,58.0,2761,6.16,6.12,3.8682000000000003
113,3,2,0.74,Very Good,62.2,59.0,2762,5.73,5.82,3.5920500000000004
114,4,3,0.73,Ideal,62.6,56.0,2762,5.77,5.74,3.6026299999999996
115,4,3,0.73,Ideal,62.7,53.0,2762,5.8,5.75,3.620925
116,4,1,0.8,Premium,61.7,58.0,2762,5.98,5.94,3.677320000000001
117,3,3,0.71,Ideal,62.4,54.0,2762,5.72,5.76,3.58176
118,5,3,0.7,Ideal,60.7,58.0,2762,5.73,5.76,3.4872150000000004
119,4,1,0.8,Ideal,59.9,59.0,2762,6.01,6.07,3.61796
120,6,1,0.71,Ideal,62.3,56.0,2762,5.73,5.69,3.5573300000000008
121,5,2,0.74,Ideal,62.3,54.0,2762,5.8,5.83,3.622744999999999
122,4,3,0.7,Very Good,61.7,63.0,2762,5.64,5.61,3.470625
123,4,3,0.7,Fair,64.5,57.0,2762,5.57,5.53,3.57975
124,4,3,0.7,Fair,65.3,55.0,2762,5.63,5.58,3.6600650000000003
125,4,3,0.7,Premium,61.6,60.0,2762,5.65,5.59,3.46192
126,2,2,0.91,Premium,61.4,56.0,2763,6.09,5.97,3.7024199999999996
127,6,5,0.61,Very Good,59.6,57.0,2763,5.56,5.58,3.3197200000000002
128,2,1,0.91,Fair,64.4,57.0,2763,6.11,6.09,3.9284000000000003
129,2,1,0.91,Fair,65.7,60.0,2763,6.03,5.99,3.94857
130,2,3,0.77,Ideal,62.0,56.0,2763,5.89,5.86,3.6425
131,6,2,0.71,Very Good,63.6,58.0,2764,5.64,5.68,3.59976
132,6,2,0.71,Ideal,61.9,59.0,2764,5.69,5.72,3.531395
133,5,3,0.7,Very Good,62.6,60.0,2765,5.62,5.65,3.52751
134,2,4,0.77,Very Good,61.3,60.0,2765,5.88,5.9,3.61057
135,5,6,0.63,Premium,60.9,60.0,2765,5.52,5.55,3.370815
136,4,4,0.71,Very Good,60.1,62.0,2765,5.74,5.77,3.458755
137,4,4,0.71,Premium,61.8,59.0,2765,5.69,5.73,3.5287800000000002
138,2,2,0.76,Ideal,61.2,57.0,2765,5.88,5.91,3.60774
139,3,6,0.64,Ideal,61.9,56.0,2766,5.53,5.56,3.432355
140,3,3,0.71,Premium,60.9,57.0,2766,5.78,5.75,3.510885
141,3,3,0.71,Premium,59.8,56.0,2766,5.89,5.81,3.4983
142,6,3,0.7,Very Good,61.8,55.0,2767,5.68,5.72,3.5225999999999993
143,4,4,0.7,Very Good,60.0,57.0,2767,5.8,5.87,3.5010000000000003
144,6,1,0.71,Ideal,61.6,55.0,2767,5.74,5.76,3.542
145,2,5,0.7,Good,62.1,64.0,2767,5.62,5.65,3.499335
146,3,4,0.71,Very Good,63.3,59.0,2768,5.52,5.61,3.5226449999999994
147,6,2,0.73,Very Good,60.2,56.0,2768,5.83,5.87,3.5217
148,6,2,0.7,Very Good,61.1,58.0,2768,5.66,5.73,3.4796450000000005
149,5,2,0.7,Ideal,60.9,57.0,2768,5.73,5.76,3.4987049999999997
150,6,1,0.71,Premium,61.7,59.0,2768,5.71,5.67,3.5107299999999997
151,1,2,0.74,Ideal,61.3,56.0,2769,5.82,5.86,3.5799199999999995
152,6,3,0.71,Premium,62.5,60.0,2770,5.65,5.61,3.5187500000000007
153,3,3,0.73,Premium,61.4,59.0,2770,5.83,5.76,3.55813
154,4,2,0.76,Very Good,62.9,57.0,2770,5.79,5.81,3.6482
155,6,1,0.76,Ideal,62.4,57.0,2770,5.78,5.83,3.6223199999999998
156,4,2,0.71,Ideal,60.7,56.0,2770,5.77,5.8,3.5114950000000005
157,3,3,0.73,Premium,60.7,58.0,2770,5.87,5.82,3.5479150000000006
158,3,4,0.73,Premium,61.5,58.0,2770,5.79,5.75,3.5485499999999996
159,6,1,0.73,Ideal,59.9,57.0,2770,5.92,5.89,3.5370949999999994
160,3,3,0.73,Premium,59.2,59.0,2770,5.92,5.87,3.4898399999999996
161,2,5,0.72,Very Good,60.3,56.0,2771,5.81,5.83,3.5094600000000002
162,4,2,0.73,Very Good,61.7,60.0,2771,5.79,5.82,3.581685
163,3,3,0.71,Ideal,61.9,57.0,2771,5.73,5.77,3.55925
164,4,1,0.79,Ideal,61.9,55.0,2771,5.97,5.92,3.679955
165,2,6,0.73,Very Good,60.4,59.0,2772,5.83,5.89,3.5394399999999995
166,4,1,0.8,Very Good,61.0,57.0,2772,6.01,6.03,3.6721999999999997
167,3,6,0.58,Ideal,61.5,55.0,2772,5.39,5.44,3.330225
168,4,6,0.58,Ideal,61.7,56.0,2772,5.33,5.37,3.30095
169,5,3,0.71,Good,59.2,61.0,2772,5.8,5.88,3.45728
170,6,1,0.75,Ideal,61.3,56.0,2773,5.85,5.89,3.5983099999999997
171,6,3,0.7,Premium,58.0,62.0,2773,5.87,5.78,3.3785000000000003
172,0,0,1.17,Very Good,60.2,61.0,2774,6.83,6.9,4.1327300000000005
173,5,4,0.6,Ideal,61.7,55.0,2774,5.41,5.44,3.347225000000001
174,5,2,0.7,Ideal,62.7,55.0,2774,5.68,5.74,3.58017
175,1,3,0.83,Good,64.6,54.0,2774,5.85,5.88,3.7887899999999997
176,4,3,0.74,Very Good,61.3,61.0,2775,5.8,5.84,3.56766
177,3,3,0.72,Very Good,63.7,56.4,2776,5.62,5.69,3.6022350000000007
178,5,3,0.71,Premium,62.7,58.0,2776,5.74,5.68,3.58017
179,5,3,0.71,Ideal,62.2,57.0,2776,5.79,5.62,3.54851
180,5,5,0.54,Ideal,61.6,56.0,2776,5.25,5.27,3.2401600000000004
181,5,5,0.54,Ideal,61.5,57.0,2776,5.24,5.26,3.22875
182,3,2,0.72,Ideal,61.8,56.0,2776,5.72,5.75,3.5442299999999993
183,3,2,0.72,Ideal,60.7,56.0,2776,5.79,5.82,3.523635
184,3,3,0.72,Good,59.7,60.5,2776,5.8,5.84,3.47454
185,3,2,0.71,Ideal,60.5,56.0,2776,5.8,5.76,3.4968999999999992
186,6,4,0.7,Very Good,62.7,58.0,2777,5.66,5.73,3.570765
187,4,3,0.71,Premium,62.1,58.0,2777,5.67,5.7,3.5303850000000008
188,4,3,0.71,Very Good,62.8,57.0,2777,5.64,5.69,3.55762
189,4,3,0.71,Good,63.8,58.0,2777,5.61,5.64,3.58875
190,4,3,0.71,Good,57.8,60.0,2777,5.87,5.9,3.4015299999999997
191,5,3,0.7,Ideal,62.1,55.0,2777,5.7,5.67,3.5303850000000008
192,5,3,0.7,Premium,61.1,60.0,2777,5.71,5.64,3.467425
193,5,2,0.7,Premium,60.0,59.0,2777,5.79,5.75,3.4619999999999997
194,5,2,0.7,Premium,61.2,57.0,2777,5.73,5.68,3.49146
195,5,2,0.7,Premium,62.7,59.0,2777,5.67,5.63,3.5425500000000003
196,5,2,0.7,Premium,61.0,57.0,2777,5.73,5.68,3.48005
197,5,2,0.7,Premium,61.0,58.0,2777,5.78,5.72,3.5075
198,5,2,0.7,Ideal,61.4,57.0,2777,5.76,5.7,3.51822
199,4,2,0.72,Premium,61.8,61.0,2777,5.82,5.71,3.5627700000000004
200,5,2,0.7,Very Good,59.9,63.0,2777,5.76,5.7,3.4322700000000004
201,5,2,0.7,Premium,61.3,58.0,2777,5.71,5.68,3.491035
202,5,2,0.7,Premium,60.5,58.0,2777,5.77,5.74,3.4817750000000003
203,5,3,0.7,Good,64.1,59.0,2777,5.64,5.59,3.5992149999999996
204,2,1,0.98,Fair,67.9,60.0,2777,6.05,5.97,4.08079
205,4,2,0.78,Premium,62.4,58.0,2777,5.83,5.8,3.6285599999999993
206,5,2,0.7,Very Good,63.2,60.0,2777,5.6,5.51,3.5107600000000003
207,4,6,0.52,Ideal,61.3,55.0,2778,5.19,5.22,3.1906649999999996
208,2,3,0.73,Very Good,60.8,56.0,2779,5.82,5.84,3.54464
209,5,2,0.74,Ideal,61.7,56.0,2779,5.84,5.8,3.5909400000000007
210,4,3,0.7,Very Good,63.6,57.0,2780,5.61,5.65,3.5806800000000005
211,3,3,0.77,Premium,61.2,58.0,2780,5.9,5.93,3.6199800000000004
212,4,3,0.71,Ideal,62.1,54.0,2780,5.68,5.72,3.5397
213,3,4,0.74,Ideal,61.5,55.0,2780,5.81,5.86,3.588525
214,3,4,0.7,Ideal,61.4,59.0,2780,5.64,5.73,3.49059
215,4,0,1.01,Premium,61.8,60.0,2781,6.39,6.36,3.9397499999999996
216,2,2,0.77,Ideal,62.2,56.0,2781,5.83,5.88,3.6418100000000004
217,2,2,0.78,Ideal,61.2,56.0,2781,5.92,5.99,3.6444600000000005
218,2,4,0.72,Very Good,60.6,63.0,2782,5.83,5.76,3.5117700000000003
219,6,5,0.53,Very Good,57.5,64.0,2782,5.34,5.37,3.0791250000000003
220,3,3,0.76,Ideal,61.3,56.0,2782,5.9,5.94,3.6289599999999997
221,5,4,0.7,Good,57.2,62.0,2782,5.81,5.77,3.31188
222,5,4,0.7,Premium,62.9,60.0,2782,5.62,5.54,3.5098199999999995
223,6,1,0.75,Very Good,63.1,58.0,2782,5.78,5.73,3.6314050000000004
224,6,2,0.72,Ideal,60.8,57.0,2782,5.76,5.75,3.49904
225,6,2,0.72,Premium,62.7,59.0,2782,5.73,5.69,3.5801700000000007
226,6,2,0.7,Premium,62.8,60.0,2782,5.68,5.66,3.5607599999999997
227,3,2,0.84,Fair,55.1,67.0,2782,6.39,6.2,3.468545
228,4,2,0.75,Premium,61.4,59.0,2782,5.88,5.85,3.60111
229,4,7,0.52,Ideal,62.2,55.0,2783,5.14,5.18,3.20952
230,4,3,0.72,Very Good,63.0,54.0,2784,5.69,5.73,3.5973000000000006
231,2,4,0.79,Very Good,63.7,56.0,2784,5.85,5.92,3.748745
232,4,3,0.72,Very Good,63.6,58.0,2787,5.66,5.69,3.6093000000000006
233,4,6,0.51,Ideal,62.0,57.0,2787,5.11,5.15,3.1806000000000005
234,6,4,0.64,Ideal,61.5,56.0,2787,5.54,5.55,3.4101749999999997
235,2,6,0.7,Very Good,60.5,60.0,2788,5.74,5.77,3.4817750000000003
236,1,4,0.83,Very Good,61.1,60.0,2788,6.07,6.1,3.7179349999999998
237,1,5,0.76,Ideal,61.8,56.0,2788,5.85,5.87,3.6214799999999996
238,6,3,0.71,Good,63.3,56.0,2788,5.64,5.68,3.58278
239,3,4,0.77,Good,59.4,64.0,2788,5.97,5.92,3.5313299999999996
240,4,2,0.71,Ideal,62.5,55.0,2788,5.71,5.65,3.55
241,5,0,1.01,Fair,64.5,58.0,2788,6.29,6.21,4.03125
242,2,1,1.01,Premium,62.7,59.0,2788,6.31,6.22,3.928155
243,4,2,0.77,Good,64.2,52.0,2789,5.81,5.77,3.7171799999999995
244,5,2,0.76,Good,63.7,54.0,2789,5.76,5.85,3.697785
245,5,2,0.76,Premium,60.4,58.0,2789,5.92,5.94,3.58172
246,5,2,0.76,Premium,61.8,58.0,2789,5.82,5.86,3.60912
247,0,1,1.05,Very Good,63.2,56.0,2789,6.49,6.45,4.089040000000001
248,3,1,0.81,Ideal,61.6,56.0,2789,5.97,6.01,3.6898400000000002
249,5,2,0.7,Ideal,61.6,56.0,2789,5.72,5.75,3.5327599999999997
250,3,7,0.55,Ideal,60.9,57.0,2789,5.28,5.3,3.22161
251,3,1,0.81,Good,61.0,61.0,2789,5.94,5.99,3.63865
252,5,5,0.63,Premium,62.1,57.0,2789,5.48,5.41,3.381345
253,5,6,0.63,Premium,60.9,60.0,2789,5.55,5.52,3.370815
254,2,4,0.77,Premium,61.3,60.0,2789,5.9,5.88,3.61057
255,0,1,1.05,Fair,65.8,59.0,2789,6.41,6.27,4.17172
256,3,7,0.64,Ideal,61.3,56.0,2790,5.54,5.58,3.4082800000000004
257,1,6,0.76,Premium,58.8,59.0,2790,6.0,5.94,3.51036
258,4,1,0.83,Ideal,62.3,55.0,2790,6.02,6.05,3.759805
259,4,4,0.71,Premium,60.1,62.0,2790,5.77,5.74,3.458755
260,4,4,0.71,Premium,61.8,59.0,2790,5.73,5.69,3.5287800000000002
261,1,2,0.87,Very Good,63.6,55.8,2791,6.07,6.1,3.8700600000000005
262,5,2,0.73,Ideal,62.2,56.0,2791,5.74,5.78,3.58272
263,5,2,0.71,Premium,59.2,59.0,2792,5.83,5.86,3.4602400000000006
264,5,2,0.71,Premium,61.8,59.0,2792,5.7,5.75,3.5380499999999997
265,5,2,0.71,Ideal,61.3,55.0,2792,5.72,5.77,3.5216849999999993
266,4,4,0.7,Premium,62.1,60.0,2792,5.71,5.65,3.52728
267,4,4,0.7,Premium,60.7,60.0,2792,5.78,5.75,3.4993550000000004
268,2,5,0.76,Premium,59.6,57.0,2792,5.91,5.86,3.50746
269,4,4,0.7,Ideal,62.2,56.0,2792,5.73,5.68,3.54851
270,3,2,0.79,Very Good,60.6,57.0,2793,5.98,6.06,3.6481199999999996
271,5,3,0.7,Very Good,62.9,57.0,2793,5.66,5.69,3.5695750000000004
272,5,3,0.7,Good,64.1,55.0,2793,5.6,5.66,3.6088299999999998
273,1,3,0.76,Ideal,61.3,56.0,2793,5.87,5.91,3.61057
274,2,3,0.73,Ideal,62.7,55.0,2793,5.72,5.76,3.59898
275,5,2,0.79,Very Good,63.2,56.0,2794,5.91,5.86,3.71932
276,5,3,0.71,Very Good,60.7,56.0,2795,5.81,5.82,3.5297049999999994
277,1,5,0.81,Premium,61.9,60.0,2795,5.91,5.86,3.642815
278,4,1,0.81,Ideal,62.6,55.0,2795,5.92,5.96,3.7184399999999997
279,4,4,0.72,Good,60.7,60.0,2795,5.74,5.72,3.4781100000000005
280,6,1,0.72,Premium,62.0,60.0,2795,5.73,5.69,3.5402000000000005
281,1,7,0.72,Premium,63.0,57.0,2795,5.72,5.7,3.5973
282,2,3,0.81,Premium,58.0,59.0,2795,6.17,6.13,3.5670000000000006
283,3,3,0.72,Premium,62.9,57.0,2795,5.73,5.65,3.5790100000000002
284,1,1,1.0,Premium,58.2,60.0,2795,6.61,6.55,3.8295600000000003
285,5,2,0.73,Good,63.2,58.0,2796,5.7,5.76,3.62136
286,2,1,0.81,Very Good,61.3,59.0,2797,5.94,6.01,3.6626749999999997
287,5,2,0.81,Very Good,60.3,60.0,2797,6.07,6.1,3.669255
288,6,2,0.71,Premium,62.7,60.0,2797,5.67,5.71,3.56763
289,6,2,0.71,Premium,61.3,58.0,2797,5.73,5.75,3.5186200000000003
290,6,2,0.71,Premium,61.6,60.0,2797,5.74,5.69,3.52044
291,4,5,0.57,Ideal,61.9,55.0,2797,5.34,5.35,3.3085549999999997
292,6,6,0.51,Ideal,61.7,56.0,2797,5.12,5.16,3.1713800000000005
293,3,3,0.72,Ideal,61.9,58.0,2797,5.72,5.75,3.549965
294,2,4,0.74,Ideal,61.8,58.0,2797,5.77,5.81,3.5782199999999995
295,2,4,0.74,Ideal,61.6,56.0,2797,5.81,5.82,3.5820399999999997
296,3,6,0.7,Fair,58.8,66.0,2797,5.81,5.9,3.44274
297,4,1,0.8,Premium,61.0,57.0,2797,6.03,6.01,3.6721999999999997
298,5,1,1.01,Fair,67.4,60.0,2797,6.19,6.05,4.124880000000001
299,2,3,0.8,Very Good,63.4,60.0,2797,5.92,5.82,3.7215800000000003
300,1,4,0.77,Ideal,61.5,59.0,2798,5.87,5.91,3.62235
301,5,1,0.83,Very Good,58.0,62.0,2799,6.19,6.25,3.6076000000000006
302,4,1,0.82,Ideal,62.4,54.0,2799,5.97,6.02,3.7408799999999998
303,6,2,0.78,Ideal,61.9,57.0,2799,5.91,5.86,3.642815
304,3,7,0.6,Very Good,61.6,56.0,2800,5.43,5.46,3.3541200000000004
305,1,1,0.9,Good,62.2,59.0,2800,6.07,6.11,3.78798
306,5,4,0.7,Premium,62.2,58.0,2800,5.6,5.66,3.50186
307,1,1,0.9,Very Good,61.3,56.0,2800,6.17,6.23,3.8006
308,3,2,0.83,Ideal,62.3,57.0,2800,5.99,6.08,3.759805
309,3,2,0.83,Ideal,61.8,57.0,2800,6.03,6.07,3.7389000000000006
310,2,2,0.83,Very Good,62.5,59.0,2800,5.95,6.02,3.7406249999999996
311,3,4,0.74,Premium,62.9,60.0,2800,5.74,5.68,3.59159
312,1,4,0.79,Ideal,61.8,59.0,2800,5.92,5.95,3.6678300000000004
313,3,7,0.61,Ideal,62.3,56.0,2800,5.43,5.45,3.3891199999999997
314,3,4,0.76,Fair,59.0,70.0,2800,5.89,5.8,3.4485499999999996
315,4,0,0.96,Ideal,60.7,55.0,2801,6.37,6.41,3.8787300000000005
316,4,3,0.73,Ideal,62.5,55.0,2801,5.8,5.76,3.6124999999999994
317,4,3,0.73,Premium,62.7,58.0,2801,5.76,5.7,3.5927100000000003
318,2,2,0.75,Ideal,60.4,57.0,2801,5.93,5.96,3.5907800000000005
319,4,3,0.71,Premium,62.1,58.0,2801,5.7,5.67,3.5303850000000008
320,4,3,0.71,Good,57.8,60.0,2801,5.9,5.87,3.4015299999999997
321,4,3,0.71,Good,63.8,58.0,2801,5.64,5.61,3.58875
322,4,3,0.71,Premium,62.8,57.0,2801,5.69,5.64,3.55762
323,3,0,1.04,Premium,62.2,58.0,2801,6.46,6.41,4.00257
324,0,1,1.0,Premium,62.3,58.0,2801,6.45,6.34,3.9840849999999994
325,3,1,0.87,Very Good,59.9,58.0,2802,6.19,6.23,3.7197900000000006
326,4,7,0.53,Ideal,61.9,54.0,2802,5.22,5.25,3.240465
327,5,3,0.72,Premium,63.0,55.0,2802,5.79,5.61,3.591
328,4,4,0.72,Premium,62.4,58.0,2802,5.83,5.7,3.5973600000000006
329,4,3,0.7,Very Good,62.9,58.0,2803,5.63,5.65,3.5475600000000003
330,5,2,0.74,Very Good,63.5,56.0,2803,5.74,5.79,3.6607750000000006
331,3,3,0.71,Ideal,61.3,56.0,2803,5.75,5.71,3.51249
332,5,2,0.73,Ideal,60.6,54.0,2803,5.84,5.89,3.55419
333,3,4,0.7,Good,65.1,58.0,2803,5.56,5.59,3.6293249999999997
334,4,3,0.71,Premium,62.6,58.0,2803,5.7,5.67,3.5588100000000003
335,4,3,0.71,Premium,58.0,62.0,2803,5.85,5.81,3.3813999999999997
336,3,4,0.71,Premium,62.4,61.0,2803,5.7,5.65,3.541200000000001
337,3,3,0.77,Premium,61.3,57.0,2803,5.93,5.88,3.6197649999999992
338,3,3,0.71,Premium,59.9,60.0,2803,5.81,5.77,3.468209999999999
339,3,3,0.78,Premium,60.8,58.0,2803,6.03,5.95,3.6419200000000003
340,3,4,0.71,Very Good,63.5,55.0,2803,5.66,5.64,3.58775
341,6,1,0.91,Ideal,62.2,57.0,2803,6.21,6.15,3.84396
342,5,3,0.71,Very Good,63.8,58.0,2804,5.62,5.66,3.5983199999999997
343,5,3,0.71,Very Good,64.0,57.0,2804,5.66,5.68,3.6288
344,5,1,0.8,Very Good,62.5,56.0,2804,5.88,5.96,3.7
345,6,2,0.7,Very Good,62.3,58.0,2804,5.69,5.73,3.5573300000000008
